org_id,node_slug,role,evidence_url,evidence_note,batch,created_by,reviewed_by,last_verified,human_verified
80-000-hours,meta.communications.public-explanation,secondary,https://www.youtube.com/@AIinContext,"Runs the AI in Context YouTube channel, whose explainers on AI risk (including a video on AI 2027) have reached millions of viewers.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ai-digest-sage,meta.communications.public-explanation,secondary,https://theaidigest.org/,Interactive explainers on AI capabilities and risk for non-specialists.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
existential-risk-observatory-ero,meta.communications.public-explanation,secondary,https://existentialriskobservatory.org,Dutch nonprofit that commissions op-eds and media pieces aimed at raising mainstream awareness of AI existential risk specifically.,b11,agent-2026-09-21,,2026-09-21,false
ai-policy-institute-aipi,meta.communications.public-opinion,primary,https://aipi.org,"Runs and publishes recurring US polling on AI risk, job automation and regulation, pitched specifically at policymakers rather than one-off campaign polling.",b11,agent-2026-09-21,,2026-09-21,false
pew-research-center,meta.communications.public-opinion,primary,https://www.pewresearch.org/internet/2025/04/03/how-the-us-public-and-ai-experts-view-artificial-intelligence/,"Recurring, methodologically transparent US surveys of attitudes to AI, including comparisons with AI experts.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
seismic-foundation,meta.communications.public-opinion,primary,https://www.seismic.org/blog/why-seismic-exists,"Nonprofit running audience research, message testing and narrative and campaign strategy on AI risk as a force multiplier for other organisations.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
ipsos,meta.communications.public-opinion,secondary,https://www.ipsos.com/en/ipsos-ai-monitor,Annual multi-country AI Monitor tracking public attitudes to AI in about 30 countries.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ai-security-forum,meta.convenings.convenings-and-events,primary,https://aisecurity.forum/,Fiscally sponsored by Hack Club; runs recurring dedicated gatherings on securing frontier AI models (Vegas AI Security Forum '26 held August 2026; TLV '26 scheduled November 2026 in Israel).,b11,agent-2026-09-21,,2026-09-24,false
far-ai,meta.convenings.convenings-and-events,primary,https://www.far.ai/events/alignment-workshop,"Runs the Alignment Workshop series, described by attendees as 'the most productive academic event per unit of time'; 2026 editions held or scheduled across San Diego, Singapore, Vienna, New Orleans, San Francisco, London and Seoul. Co-organises ControlConf with Redwood Research.",b11,agent-2026-09-21,,2026-09-24,false
golden-gate-institute-for-ai-the-curve,meta.convenings.convenings-and-events,primary,https://thecurve.goldengateinstitute.org/,"Invitation-only 2.5-day gathering of researchers, founders, policymakers and writers; 2026 edition scheduled 2-4 October in Berkeley with speakers including Yoshua Bengio and a sitting member of Congress.",b11,agent-2026-09-21,,2026-09-24,false
lightcone-infrastructure,meta.convenings.convenings-and-events,primary,https://lightconeinfrastructure.com,"[Lightcone Infrastructure (Lighthaven)] Runs the Lighthaven campus in Berkeley, a purpose-built venue that AI safety and rationalist organisations use to host workshops, retreats and conferences without building their own event capacity.",b11,agent-2026-09-21,,2026-09-24,false
constellation,meta.convenings.convenings-and-events,secondary,https://constellation.org,Hosts workshops and events for the wider field at its Berkeley centre.,v2-low-edit,v2-build-2026-09-24,opus-review-2026-09-23,2026-09-24,false
iliad,meta.convenings.convenings-and-events,secondary,https://www.iliad.ac/,Runs the ILIAD conferences on theoretical and mathematical alignment.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
london-initiative-for-safe-ai-lisa,meta.convenings.convenings-and-events,secondary,https://lisa.org.uk,Hosts workshops and events for its member organisations and the wider London community.,v2-low-edit,v2-build-2026-09-24,opus-review-2026-09-23,2026-09-24,false
redwood-research,meta.convenings.convenings-and-events,secondary,https://controlconf.org/,"Co-organises ControlConf with FAR.AI (2025 London, 2026 Berkeley, 18-19 April); running the conference is a side activity to Redwood's core control research.",b11,agent-2026-09-21,,2026-09-24,false
the-future-society,meta.convenings.convenings-and-events,secondary,https://www.thefuturesociety.org/,"Runs the Athens Roundtable on AI and the Rule of Law, a recurring convening of government, industry, civil society and academia.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
ai-governance-and-safety-canada-aigs-canada,meta.convenings.regional-hubs,primary,https://aigs.ca/policy-course/,"Runs an introductory AI policy course, a Slack community, newsletter and events to build the Canadian AI safety/governance community.",b12,agent-2026-09-21,,2026-09-21,false
ai-safety-brazil,meta.convenings.regional-hubs,primary,https://aisafetybrazil.org,"Runs meetups and outreach on AI safety in Brazil, one of very few identifiable Latin American AI safety community groups; evidence is the homepage only.",b12,agent-2026-09-21,,2026-09-23,false
ai-safety-india-aisin,meta.convenings.regional-hubs,primary,https://aisafetyindia.org,"Builds India's AI safety, alignment and governance field through courses, research support and networking; evidence is the homepage only.",b12,agent-2026-09-21,,2026-09-23,false
ai-safety-south-africa-aissa-cape-institute-for-safe-ai,meta.convenings.regional-hubs,primary,https://www.aisafetysa.com/programs,"National network across Cape Town, Johannesburg and Pretoria with 100+ events and 10+ programmes; rebranding its operational hub to the Cape Institute for Safe AI (CISAI).",b12,agent-2026-09-21,,2026-09-21,false
centre-pour-la-securite-de-l-ia-cesia,meta.convenings.regional-hubs,primary,https://cesia.org/en/our-work/,"Positions itself as 'the French voice of AI safety'; advises the French Senate, Ministry of Defense and INESIA, and runs public roundtables (e.g. with Sciences Po).",b12,agent-2026-09-21,,2026-09-21,false
european-network-for-ai-safety-enais,meta.convenings.regional-hubs,primary,https://enais.co,"Distributed network connecting AI safety researchers and students across Europe through events and a newsletter, standing in for a single physical hub outside London.",b11,agent-2026-09-21,,2026-09-21,false
ilina-program,meta.convenings.regional-hubs,primary,https://forum.effectivealtruism.org/posts/5FF72GePbtBmXK4za/applications-open-for-ilina-3-0,"African-led hub running annual field-building cohorts and policy engagement with African governments, addressing the near-absence of African AI safety organisations elsewhere.",b11,agent-2026-09-21,,2026-09-21,false
singapore-ai-safety-hub-sash,meta.convenings.regional-hubs,primary,https://www.aisafety.sg/programs/singapore-ai-safety-fellowship,"SASH builds AI safety capacity across Southeast Asia via the Singapore AI Safety Fellowship, a co-working space, and public/private convenings with government partners (IMDA, CSA, MDDI) and Korea AISI.",b12,agent-2026-09-21,,2026-09-21,false
constellation,meta.convenings.regional-hubs,secondary,https://constellation.org,Berkeley research hub co-locating technical AI safety researchers; runs 3-6 month funded residencies and describes itself as having 'the highest density of AI safety talent' anywhere.,b11,agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
london-initiative-for-safe-ai-lisa,meta.convenings.regional-hubs,secondary,https://lisa.org.uk,"Shared office space in London hosting numerous AI safety organisations, programmes and independent researchers.",b11,agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
civai,meta.evidence.capability-demonstrations,primary,https://civai.org/cyber-demos,"Builds live demonstrations of AI-enabled cyber attacks, deepfakes and other capabilities and shows them to state and federal lawmakers.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
palisade-research,meta.evidence.capability-demonstrations,primary,https://palisaderesearch.org/research/shutdown-resistance,"Produces widely covered, hands-on demonstrations of concerning frontier capabilities for a policymaker audience, including shutdown-resistance and autonomous-hacking/self-replication studies.",b10,agent-2026-09-21,,2026-09-21,false
ai-digest-sage,meta.evidence.capability-demonstrations,secondary,https://theaidigest.org/,Interactive explainers and agent experiments (including the AI Village) that show current AI capabilities to non-specialists and decision-makers.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
andon-labs,meta.evidence.capability-demonstrations,secondary,https://andonlabs.com/,"Runs real-world agent deployments, such as autonomous vending, whose results are widely used to show decision-makers what agents can and cannot do.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ai-impacts,meta.evidence.capability-forecasting,primary,https://aiimpacts.org/surveys/,"Runs the Expert Survey on Progress in AI (ESPAI), the largest recurring survey of AI researchers on timelines and takeoff, most recently with 2,778 respondents in 2023.",b12,agent-2026-09-21,,2026-09-21,false
epoch-ai,meta.evidence.capability-forecasting,primary,https://epoch.ai/trends,"Publishes the most widely cited datasets and reports on training compute, algorithmic efficiency and capability trends.",b10,agent-2026-09-21,,2026-09-21,false
forecasting-research-institute-fri,meta.evidence.capability-forecasting,primary,https://forecastingresearch.org/existential-risk-persuasion-tournament,Ran the Existential Risk Persuasion Tournament and continues methodological work on improving calibrated forecasts of AI and other catastrophic risks.,b10,agent-2026-09-21,,2026-09-21,false
metaculus,meta.evidence.capability-forecasting,primary,https://www.metaculus.com/questions/?search=AI,"Public forecasting platform hosting a large, active set of tracked AI timeline and capability questions with visible track records.",b10,agent-2026-09-21,,2026-09-21,false
metr,meta.evidence.capability-forecasting,primary,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,"Tracks the length of tasks frontier agents can complete (task time horizons), updated with each major model and widely used in timeline forecasts.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ai-futures-project,meta.evidence.capability-forecasting,secondary,https://ai-futures.org,Produces AI timeline and capability forecasts as an input to its scenario work (AI 2027).,b10,agent-2026-09-21,,2026-09-21,false
mit-futuretech-algorithmic-alignment-group,meta.evidence.capability-forecasting,secondary,https://futuretech.mit.edu,[MIT FutureTech] Academic group tracking trends in AI compute and capability alongside algorithmic alignment research.,b10,agent-2026-09-21,,2026-09-21,false
sentinel-forecasting-team,meta.evidence.capability-forecasting,secondary,https://sentinel-team.org/,"Early-warning forecasting team (co-founded by Nuno Sempere of Samotsvety) covering AI among other global catastrophic risks, with a public calibration track record.",b10,agent-2026-09-21,,2026-09-21,false
metr,meta.evidence.incident-investigation,primary,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"Co-led (with Redwood Research) a brief independent investigation of the August 2026 OpenAI/Hugging Face agent-coordinated hacking incident, reconstructing agent behaviour, reasoning and collaboration independently of OpenAI.",b10,agent-2026-09-21,,2026-09-21,false
redwood-research,meta.evidence.incident-investigation,primary,https://www.redwoodresearch.org/research/hugging-face-incident,Joint investigator with METR on the OpenAI/Hugging Face incident; Redwood's Chief Scientist co-authored the report alongside two METR staff.,b10,agent-2026-09-21,,2026-09-21,false
ai-incident-database,meta.evidence.incident-tracking,primary,https://incidentdatabase.ai/,"Structured, actively updated public catalogue of AI-caused and AI-involved harms (incident 1697 logged 19 September 2026); now operated by the Responsible AI Collaborative rather than Partnership on AI, which hosted its early development.",b10,agent-2026-09-21,,2026-09-21,false
aiaaic,meta.evidence.incident-tracking,primary,https://www.aiaaic.org/aiaaic-repository,"Independent, long-running public repository of AI, algorithmic and automation incidents and controversies.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
oecd-ai-policy-observatory,meta.evidence.incident-tracking,primary,https://oecd.ai/en/incidents,"[OECD AI Incidents Monitor] Intergovernmental AIM tool that automatically mines media reports for AI incidents and hazards across harm type, industry and affected AI principle; in beta but actively maintained with September 2026 entries.",b10,agent-2026-09-21,,2026-09-21,false
metr,meta.evidence.incident-tracking,secondary,https://metr.org/agent-incidents/,Separately catalogues agent-specific incidents observed in its own evaluation work.,b10,agent-2026-09-21,,2026-09-21,false
80-000-hours,meta.evidence.macrostrategy-and-prioritisation,primary,https://80000hours.org/career-reviews/ai-safety-fieldbuilding/,"Maintains a continuously updated AI safety fieldbuilding career review that explicitly names neglected sub-areas (e.g. non-research fellowships, operations roles), functioning as ongoing field-prioritisation research; last updated 31 August 2026.",b10,agent-2026-09-21,,2026-09-24,false
ai-futures-project,meta.evidence.macrostrategy-and-prioritisation,primary,https://ai-futures.org,"Produced AI 2027, the most widely discussed integrated narrative scenario of transformative AI development, and continues scenario-forecasting work.",b10,agent-2026-09-21,,2026-09-24,false
arb-research,meta.evidence.macrostrategy-and-prioritisation,primary,https://shallowreview.ai/about,"Leads the recurring Shallow Review of Technical AI Safety (2023, 2024, 2025), a field-level map of agendas, organisations and funding.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
coefficient-giving-formerly-open-philanthropy,meta.evidence.macrostrategy-and-prioritisation,primary,https://coefficientgiving.org/research/our-approach-to-ai-safety-and-security/,"As a major funder, publishes its own prioritisation reasoning about which parts of the field are neglected, most visibly through Project Tailwind's 36 curated initiatives.",b10,agent-2026-09-21,,2026-09-24,false
forethought,meta.evidence.macrostrategy-and-prioritisation,primary,https://www.forethought.org/research/preparing-for-the-intelligence-explosion,Publishes macrostrategy research on intelligence-explosion dynamics and how institutions should prepare for rapid AI-driven change.,b10,agent-2026-09-21,,2026-09-24,false
centre-for-long-term-resilience-cltr,meta.evidence.macrostrategy-and-prioritisation,secondary,https://www.longtermresilience.org/reports/priorities-for-the-uk-government-on-frontier-ai-risk-and-biosecurity/,"Advises the UK government directly on where to prioritise resource against frontier AI and biosecurity risk, publishing explicit cross-domain priority-setting reports (September 2026).",b10,agent-2026-09-21,opus-review-2026-09-23,2026-09-24,false
centre-for-the-study-of-existential-risk-cser,meta.evidence.macrostrategy-and-prioritisation,secondary,https://www.cser.ac.uk,CSER runs a substantial programme on AI existential risk (long known publicly as 'AI: Futures and Responsibility'); this tag rests on the homepage only.,b12,agent-2026-09-21,,2026-09-24,false
effective-institutions-project,meta.evidence.macrostrategy-and-prioritisation,secondary,https://effectiveinstitutionsproject.org,"Works on improving institutional decision-making capacity for catastrophic risks including AI, as part of a wider prioritisation and institutions mandate.",b10,agent-2026-09-21,,2026-09-24,false
global-catastrophic-risk-institute-gcri,meta.evidence.macrostrategy-and-prioritisation,secondary,https://gcrinstitute.org/all-hazards-policy/,"'All-Hazards Policy for Global Catastrophic Risk' (Nov 2023) is GCRI's integrated cross-risk policy framework including AI; evidence is thin and dated, and no AI-specific 2025-2026 publication was found.",b12,agent-2026-09-21,,2026-09-24,false
machine-intelligence-research-institute-miri,meta.evidence.macrostrategy-and-prioritisation,secondary,https://intelligence.org/2024/12/02/miris-2024-end-of-year-update/,"Having concluded its technical alignment research programme was 'too slow to prevent disaster', MIRI now argues its own macrostrategic case for AI extinction risk directly to policymakers and the public (including via the 2025 book 'If Anyone Builds It, Everyone Dies').",b10,agent-2026-09-21,,2026-09-24,false
rand-global-and-emerging-risks-caps,meta.evidence.macrostrategy-and-prioritisation,secondary,https://www.rand.org/pubs/perspectives/PEA5105-1.html,"Published macro-level geopolitical strategy work on securing advantage on the path to superintelligence (September 2026 Perspective), moving beyond RAND's narrower policy papers into scenario-level strategic reasoning.",b10,agent-2026-09-21,,2026-09-24,false
international-ai-safety-report,meta.evidence.state-of-risk,primary,https://internationalaisafetyreport.org/publication/international-ai-safety-report-2026,"Government-convened annual synthesis chaired by Yoshua Bengio, backed by over 30 countries and international bodies; the 2026 edition is the second in the series launched after the 2023 Bletchley summit.",b10,agent-2026-09-21,,2026-09-21,false
mit-ai-risk-repository,meta.evidence.state-of-risk,primary,https://airisk.mit.edu,"Actively maintained living database of over 1,700 AI risks drawn from 65 frameworks, now on version 4, with expert-rated severity data and an interactive AI Risk Navigator.",b10,agent-2026-09-21,,2026-09-21,false
stanford-hai,meta.evidence.state-of-risk,secondary,https://hai.stanford.edu/ai-index/2026-ai-index-report,"The 2026 AI Index Report is Stanford HAI's flagship annual synthesis of AI capability, safety and governance trends, explicitly framing a widening gap between capability and governance readiness.",b12,agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
convergence-analysis,meta.evidence.threat-modelling,primary,https://www.convergenceanalysis.org/publications,"Runs a dedicated scenario-research programme modelling paths to negative AI outcomes, including recent work such as 'AI Emergency Preparedness' and 'The AI Readiness Objectives' (August 2026).",b10,agent-2026-09-21,,2026-09-24,false
forethought,meta.evidence.threat-modelling,primary,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power,"Publishes explicit catastrophe threat models, notably 'AI-Enabled Coups: How a Small Group Could Use AI to Seize Power' (April 2025), alongside macrostrategy work on intelligence explosion dynamics.",b10,agent-2026-09-21,,2026-09-24,false
google-deepmind,meta.evidence.threat-modelling,secondary,https://arxiv.org/abs/2504.01849,"Its paper on its approach to technical AGI safety and security sets out an explicit risk taxonomy (misuse, misalignment, mistakes, structural risk) used as a reference threat model.",v2-low-edit,v2-build-2026-09-24,opus-review-2026-09-23,2026-09-24,false
odyssean-institute,meta.evidence.threat-modelling,secondary,https://www.odysseaninstitute.org/projects,"'Applying the Odyssean Process to AI' proposes a deliberative assembly to inform AI safety regulation with foresight methods; as of this check it is an announced proposal rather than a delivered wargame, so evidence is thin.",b12,agent-2026-09-21,,2026-09-24,false
advanced-research-plus-invention-agency-aria,meta.funding.funding-concentration,primary,https://www.aria.org.uk/programme-safeguarded-ai/,"UK government research funder; Safeguarded AI programme backed by £59 million, with a rolling cybersecurity-focused funding track open in 2026.",b09,agent-2026-09-21,,2026-09-21,false
ai-safety-tactical-opportunities-fund-aistof,meta.funding.funding-concentration,primary,https://forum.effectivealtruism.org/posts/Rq7AuJNoMmRGRTftZ/ai-safety-funder-bulletin,"Independent multi-donor fund (founded by JueYan Zhang, 2023) that has made 150+ grants totalling over $30M filling time-sensitive gaps; explicitly named by Coefficient Giving as valuable independent capacity.",b09,agent-2026-09-21,,2026-09-21,false
coefficient-giving-formerly-open-philanthropy,meta.funding.funding-concentration,primary,https://coefficientgiving.org/research/ai-safety-and-security-need-more-funders/,Dominant philanthropic funder; its own 2026 piece states Open Philanthropy/Good Ventures are 'a concentrated share of AI safety philanthropic funding' and names the gaps this creates.,b09,agent-2026-09-21,,2026-09-21,false
founders-pledge,meta.funding.funding-concentration,primary,https://www.founderspledge.com/funds/global-catastrophic-risks-fund,"Directs pledged entrepreneur wealth through its Global Catastrophic Risks Fund, which includes AI safety.",b09,agent-2026-09-21,,2026-09-21,false
future-of-life-institute-fli,meta.funding.funding-concentration,primary,https://futureoflife.org/grant-programs/,"One of the largest philanthropic funders of AI safety outside Coefficient, running open grant programmes and fellowships from its 2021 endowment.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
halcyon-futures,meta.funding.funding-concentration,primary,https://halcyonfutures.org,Early-stage venture funding for AI-safety-aligned startups.,b09,agent-2026-09-21,,2026-09-21,false
juniper-ventures,meta.funding.funding-concentration,primary,https://juniper.xyz/,"VC fund investing in safety-conscious AI startups, e.g. Goodfire and Apollo Research; publishes an AI Assurance Technology Report.",b09,agent-2026-09-21,,2026-09-21,false
longview-philanthropy,meta.funding.funding-concentration,primary,https://longview.org,"Runs independent donor-advisory capacity and pooled funds for AI safety and governance, named by Coefficient Giving as one of the few other serious independent funders.",b09,agent-2026-09-21,,2026-09-21,false
macroscopic-ventures,meta.funding.funding-concentration,primary,https://macroscopic.org,"Grants to AI safety and existential-risk nonprofits from Switzerland, another non-Coefficient, non-US funding source.",b09,agent-2026-09-21,,2026-09-21,false
manifund,meta.funding.funding-concentration,primary,https://manifund.org,"Public regranting marketplace that lets individual donors and regrantors fund AI safety projects directly, diversifying who can allocate money.",b09,agent-2026-09-21,,2026-09-21,false
polaris-ventures,meta.funding.funding-concentration,primary,https://polaris-ventures.org,"Grants and investments in AI safety organisations, based in Germany, widening the funder base geographically.",b09,agent-2026-09-21,,2026-09-21,false
schmidt-sciences-science-of-trustworthy-ai,meta.funding.funding-concentration,primary,https://www.schmidtsciences.org/trustworthy-ai/,"Funds trustworthy-AI and AI2050 grants and fellowships, a significant non-Coefficient philanthropic source.",b09,agent-2026-09-21,,2026-09-21,false
survival-and-flourishing-fund-sff,meta.funding.funding-concentration,primary,https://survivalandflourishing.fund,"Independent S-process grant rounds, one of the larger non-Coefficient funding sources.",b09,agent-2026-09-21,,2026-09-21,false
transformative-ai-fund-ea-funds,meta.funding.funding-concentration,primary,https://forum.effectivealtruism.org/posts/dtZ9wbKWjtvGWDRJx/closing-the-ltff-spending-down-funds-and-a-new-ai-fund-at-ea,"New fund at EA Funds (announced 11 August 2026, led by Lowe Lundin) seeded with roughly $0.9M from the Long-Term Future Fund's closure, funding early-stage AI risk projects.",b09,agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
uk-ai-security-institute,meta.funding.funding-concentration,primary,https://www.aisi.gov.uk/blog/funding-60-projects-to-advance-ai-alignment-research,"[UK AI Security Institute (Alignment Project grants)] The Alignment Project has committed £27 million (as of February 2026) and funded 60 alignment research projects from 800+ applications across 42 countries, with further funding rounds planned.",b09,agent-2026-09-21,,2026-09-21,false
us-national-science-foundation-nsf,meta.funding.funding-concentration,primary,https://www.nsf.gov/funding/opportunities/us-national-science-foundation-state-regional-artificial/nsf26-513/solicitation,Funds AI safety-relevant work through National AI Research Institutes and dedicated solicitations (e.g. a 2026 university AI safety programme reported at $750K-$3M).,b09,agent-2026-09-21,,2026-09-21,false
ai-risk-mitigation-fund,meta.funding.funding-concentration,secondary,https://forum.effectivealtruism.org/posts/dtZ9wbKWjtvGWDRJx/closing-the-ltff-spending-down-funds-and-a-new-ai-fund-at-ea,"Fund run by former LTFF managers, named in the LTFF closure post as continuing part-time AI safety grantmaking.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
astera-institute,meta.funding.funding-concentration,secondary,https://astera.org,"Operating foundation that funds and conducts research into alternative, potentially safer AI architectures alongside Simplex.",b12,agent-2026-09-21,,2026-09-21,false
ea-infrastructure-fund-eaif,meta.funding.funding-concentration,secondary,https://funds.effectivealtruism.org/funds/ea-community,"Grantmaking fund for effective-altruism-community infrastructure and field-building; the fund page describes its general mission only, without a list of AI-safety-specific grants, so evidence is thin.",b12,agent-2026-09-21,,2026-09-23,false
lightcone-infrastructure,meta.funding.funding-concentration,secondary,https://forum.effectivealtruism.org/posts/dtZ9wbKWjtvGWDRJx/closing-the-ltff-spending-down-funds-and-a-new-ai-fund-at-ea,"Runs Lightcone Commons, the funding platform that took about 75% of the LTFF's remaining funds and its application pipeline in August 2026.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
lionheart-ventures,meta.funding.funding-concentration,secondary,https://lionheart.vc,AI-safety-focused venture fund; limited public detail on portfolio.,b09,agent-2026-09-21,,2026-09-21,false
mythos-ventures,meta.funding.funding-concentration,secondary,https://mythos.vc,Venture fund for AI-safety-aligned founders; limited public detail on portfolio.,b09,agent-2026-09-21,,2026-09-21,false
ashgro,meta.funding.funding-infrastructure,primary,https://ashgro.org,Fiscal sponsorship and back-office operations support for multiple AI safety projects.,b09,agent-2026-09-21,,2026-09-24,false
berkeley-existential-risk-initiative-beri,meta.funding.funding-infrastructure,primary,https://existence.org,Provides fiscal sponsorship and support contracts to existential-risk research collaborators including CHAI and GovAI.,b09,agent-2026-09-21,,2026-09-24,false
catalyze-impact,meta.funding.funding-infrastructure,primary,https://catalyze-impact.org,Dedicated incubator selecting and mentoring founders through launching new AI safety nonprofits and projects.,b09,agent-2026-09-21,,2026-09-24,false
constellation,meta.funding.funding-infrastructure,primary,https://constellation.org/programs/incubator,"[Constellation Incubator] Incubator programme co-located with Constellation's Berkeley research hub, mentoring new AI safety research and organisation founders.",b09,agent-2026-09-21,,2026-09-24,false
gray-swan-ai,meta.funding.funding-infrastructure,primary,https://www.grayswan.ai/,"Runs recurring public red-teaming and jailbreak arenas with cash prize pools, some co-sponsored by frontier labs and the UK AI Security Institute.",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
impact-ops,meta.funding.funding-infrastructure,primary,https://impact-ops.org/,"Provides outsourced finance, entity setup, due diligence, systems and recruitment to high-impact organisations, including AI safety ones (case studies include FRI and Arkose).",review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
rethink-priorities,meta.funding.funding-infrastructure,primary,https://rethinkpriorities.org/our-services/special-projects/,"[Rethink Priorities (Special Projects)] Special Projects programme has fiscally sponsored 15 initiatives (about $19.7M in direct costs through 2025), including Epoch AI and Apollo Research by name.",b09,agent-2026-09-21,,2026-09-24,false
apart-research,meta.funding.funding-infrastructure,secondary,https://apartresearch.com,"Runs research sprints and hackathons that include prize money for winning teams, though its main activity is the sprints themselves rather than prizes as such.",b09,agent-2026-09-21,,2026-09-24,false
center-for-ai-safety-cais,meta.funding.funding-infrastructure,secondary,https://safe.ai/competition-terms,Runs prize-backed competitions (e.g. with Scale AI as prize sponsor); not CAIS's core ongoing activity.,b09,agent-2026-09-21,,2026-09-24,false
coefficient-giving-formerly-open-philanthropy,meta.funding.funding-infrastructure,secondary,https://coefficientgiving.org/tailwind/initiatives/#philanthropic-startup-incubator,"Proposes building a larger philanthropic startup incubator and backing 'unclaimed research labs' around agendas that currently have no team, implying current incubation capacity is judged insufficient by the field's largest funder.",b09,agent-2026-09-21,,2026-09-24,false
hack-club,meta.funding.funding-infrastructure,secondary,https://aisecurity.forum/,Fiscal sponsor of the AI Security Forum; an example of a general-purpose sponsor absorbing AI safety projects.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
humane-intelligence,meta.funding.funding-infrastructure,secondary,https://humane-intelligence.org,"Runs structured red-teaming and bias-bounty competitions, the closest thing to a recurring, well-specified prize mechanism found in this space.",b09,agent-2026-09-21,,2026-09-24,false
