org_id,name,url,type,hq_country,hq_city,region,founded_year,size_band,funding_model,primary_focus,focus_tags,problem_description,notable_outputs,status,confidence,source_urls,commercial_model,approachability,source,notes,created_by,reviewed_by,last_verified,human_verified
ai-digest-sage,AI Digest (Sage),https://theaidigest.org,nonprofit,unknown,unknown,unknown,unknown,unknown,unknown,,,Interactive explainers and agent experiments (including the AI Village) that show current AI capabilities to non-specialists and decision-makers.,,active,low,https://theaidigest.org/; https://civai.org/about,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[42], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ai-futures-project,AI Futures Project,https://ai-futures.org,nonprofit-research,US,Berkeley,North America,2024,1-5,philanthropic,Scenario forecasting for transformative AI,forecasting,"Produces detailed narrative scenario forecasts of how transformative AI development could unfold, to sharpen policy debate.",AI 2027 scenario report,active,high,https://ai-futures.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
ai-governance-and-safety-canada-aigs-canada,AI Governance and Safety Canada (AIGS Canada),https://aigs.ca,field-building,Canada,Ottawa,North America,2023,1-5,philanthropic,Canadian AI governance and safety community building,field-building;policy-domestic,Builds the Canadian AI safety and governance community and connects it to national policy processes.,Community events and policy engagement in Canada,active,medium,https://aisafety.com/map,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
ai-impacts,AI Impacts,https://aiimpacts.org,nonprofit-research,US,Berkeley,North America,2014,1-5,philanthropic,Empirical research on AI trends for risk assessment,forecasting,Conducts empirical research on trends in AI progress and expert opinion to inform assessments of AI risk and timelines.,Surveys of AI researchers on timelines and risk,active,high,https://aiimpacts.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
ai-incident-database,AI Incident Database,https://incidentdatabase.ai,nonprofit,US,unknown,North America,unknown,unknown,unknown,Public catalogue of AI-caused and AI-involved harms and near-misses,incident-tracking;forecasting,"Structured, actively updated public database indexing real-world AI harms and near-harms, used as a standard citation in AI safety and policy research.","1,600+ logged incidents as of September 2026; regular incident roundups",active,high,https://incidentdatabase.ai/,nonprofit,publishes-open-problems;contact-form,new_org:b10,,agent-2026-09-21,,2026-09-21,false
ai-lab-watch,AI Lab Watch,https://ailabwatch.org,field-building,US,unknown,North America,2023,1-5,philanthropic,Tracks and scores frontier lab safety practices,lab-accountability;comms-advocacy,Independent tracker scoring frontier AI developers on their safety practices and commitments to increase public accountability.,Public scorecard of lab safety practices,closed,medium,https://ailabwatch.org,nonprofit,publishes-open-problems;contact-form,seed,Defunct: maintainer stopped updating the site in September 2025 (b10); the site remains online as an archive.,agent-2026-09-21,,2026-09-21,false
ai-now-institute,AI Now Institute,https://ainowinstitute.org,think-tank,US,New York,North America,2017,6-20,philanthropic,Research on social implications and power concentration from AI,policy-domestic;economic-transition,Research institute examining how AI concentrates corporate and state power and advocating for structural regulation.,Annual AI Now Report,active,high,https://ainowinstitute.org,nonprofit,hiring;publishes-open-problems,seed,b09 caution: current output leans towards market concentration and industry power more than individual-level bias.,agent-2026-09-21,,2026-09-21,false
ai-objectives-institute-aoi,AI Objectives Institute (AOI),https://aiobjectives.org,nonprofit-research,US,San Francisco,North America,2021,1-5,philanthropic,Aligning AI with collective and democratic human objectives,alignment;epistemics,"Researches how AI systems can be aligned with collective human objectives rather than narrow proxies, including deliberation tools.",Talk to the City deliberation tool,active,medium,https://aiobjectives.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
ai-policy-institute-aipi,AI Policy Institute (AIPI),https://aipi.org,think-tank,US,unknown,North America,2023,1-5,philanthropic,Polls public opinion on AI policy,policy-domestic;comms-advocacy,Conducts and publishes public opinion polling on AI risk and regulation to inform US policymakers.,Public opinion polling reports on AI policy,active,medium,https://aipi.org,nonprofit,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
ai-risk-mitigation-fund,AI Risk Mitigation Fund,unknown,funder,unknown,unknown,unknown,unknown,unknown,philanthropic,,,"Fund run by former LTFF managers, named in the LTFF closure post as continuing part-time AI safety grantmaking.",,active,low,https://forum.effectivealtruism.org/posts/dtZ9wbKWjtvGWDRJx/closing-the-ltff-spending-down-funds-and-a-new-ai-fund-at-ea,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[4], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking. Run by former LTFF fund managers; no homepage recorded in the review.",review-2026-09-23,opus-review-2026-09-23,2026-09-24,false
ai-safety-brazil,AI Safety Brazil,https://aisafetybrazil.org,field-building,Brazil,unknown,Other,unknown,1-5,philanthropic,Builds the Brazilian/Portuguese-speaking AI safety community,field-building,"Community organisation running meetups and outreach on AI ethics and safety in Brazil, one of very few identifiable Latin American AI safety groups.",Regular virtual meetups; Campus Party Brasil presence,active,low,https://aisafetybrazil.org/; https://luma.com/ai-safety-brazil; https://brasil.campus-party.org/listings/aisafetybrasil/,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
ai-safety-camp-aisc,AI Safety Camp (AISC),https://aisafety.camp,field-building,Other,Global (remote),Other,2018,1-5,philanthropic,Structured programme for new AI safety researchers to test projects,field-building,Runs structured multi-month programmes where newcomers test research fit on concrete AI safety projects under mentorship.,Multiple cohorts producing research outputs and new researchers,active,high,https://aisafety.camp,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
ai-safety-india-aisin,AI Safety India (AISIN),https://aisafetyindia.org,field-building,India,unknown,Asia,unknown,1-5,philanthropic,Builds the Indian AI safety community,field-building,"Community organisation building India's AI safety, alignment and governance field through courses, research support and networking, filling a Global South gap in existing field maps.",Community courses and research support,active,low,https://aisafetyindia.org/; https://www.linkedin.com/company/ai-safety-india,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
ai-safety-south-africa-aissa-cape-institute-for-safe-ai,AI Safety South Africa (AISSA / Cape Institute for Safe AI),https://aisafetysa.com,field-building,South Africa,Cape Town,Other,unknown,1-5,philanthropic,National AI safety community and field-building network in South Africa,field-building,"National network of AI safety talent across Cape Town, Johannesburg and Pretoria running fellowships, courses and events; as of 2026 is rebranding its operational hub to the Cape Institute for Safe AI (CISAI).",10+ educational programmes; 100+ events; transition to Cape Institute for Safe AI,active,medium,https://www.aisafetysa.com/,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
ai-safety-support,AI Safety Support,https://aisafetysupport.org,field-building,Other,Global (remote),Other,2019,1-5,philanthropic,Career and wellbeing support for AI safety researchers,field-building,"Provides one-on-one career advice, resource directories and wellbeing support to people entering or working in AI safety.",AI safety career advice and directories,dormant,high,https://aisafetysupport.org/; https://forum.effectivealtruism.org/posts/Bjr6FXvnKqb37uMPP/shutting-down-ai-safety-support,nonprofit,fellowship-or-programme,seed,"Paused indefinitely, as announced on the EA Forum (review-meta).",agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
ai-safety-tactical-opportunities-fund-aistof,AI Safety Tactical Opportunities Fund (AISTOF),https://manifoldmarkets.notion.site/AI-Safety-Tactical-Opportunities-Fund-AISTOF-1bf54492ea7a80fcb088fd431b6b10b4,funder,US,unknown,North America,2023,1-5,philanthropic,"Fast, flexible grants filling time-sensitive gaps in AI safety funding",funding,"Multi-donor rapid-response fund founded by JueYan Zhang that has made 150+ grants totalling over $30 million since late 2023, run with about one full-time-equivalent staff member and no formal application process.","150+ grants since 2023 for workshops, conferences and conceptual research",active,medium,https://forum.effectivealtruism.org/posts/Rq7AuJNoMmRGRTftZ/ai-safety-funder-bulletin; https://coefficientgiving.org/research/ai-safety-and-security-need-more-funders/,nonprofit,open-to-collaborators,new_org:b09,,agent-2026-09-21,,2026-09-21,false
ai-security-forum,AI Security Forum,https://aisecurity.forum/,field-building,US,unknown,North America,unknown,1-5,philanthropic,"Recurring events bringing together AI, cybersecurity and national-security experts",field-building,"Fiscally sponsored by Hack Club; runs recurring events (Vegas AI Security Forum '26, TLV '26) focused specifically on securing frontier AI models.",Vegas AI Security Forum '26 (August 2026); TLV '26 (November 2026),active,medium,https://aisecurity.forum/,nonprofit,unknown,new_org:b11,,agent-2026-09-21,,2026-09-21,false
ai-standards-lab,AI Standards Lab,https://aistandardslab.org,standards-body,US,unknown,North America,2023,1-5,philanthropic,Develops technical AI safety standards,standards,Develops concrete technical standards intended to be adopted into AI safety regulation and industry practice.,Draft technical safety standards,active,medium,https://aisafety.com/map,nonprofit,open-to-collaborators;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
ai-verify-foundation,AI Verify Foundation,https://aiverifyfoundation.sg,standards-body,Singapore,Singapore,Asia,2023,6-20,government,Open-source AI governance testing framework,standards;auditing-assurance,Singapore government-backed foundation developing open-source tools and standards for testing AI systems against governance principles.,AI Verify open-source testing toolkit,active,high,https://aiverifyfoundation.sg/,nonprofit,open-to-collaborators,seed,,agent-2026-09-21,,2026-09-21,false
ai-whistleblower-initiative-aiwi,AI Whistleblower Initiative (AIWI),https://aiwhistleblowerinitiative.substack.com/,advocacy,unknown,unknown,Europe,unknown,unknown,philanthropic,Support for AI-lab insiders raising public-interest safety concerns,lab-accountability;whistleblower-support,"Independent nonprofit dedicated to supporting AI professionals who want to raise critical safety concerns in the public interest, backed by a network of senior advisors in AI, law and journalism; publishes 'AIWI: Inside AI', a newsletter tracking whistleblowing-relevant news and policy. Relevant to meta.watchdogs.whistleblower-support, not to this batch's nodes, per model.developer-assurance.internal-safety-governance's own boundary rule that external whistleblower support sits in the meta layer.",AIWI: Inside AI newsletter; whistleblowing best-practice guidance,active,medium,https://aiwhistleblowerinitiative.substack.com/about; https://aiwhistleblowerinitiative.substack.com/p/ai-whistleblowing-law-a-best-practice,nonprofit,contact-form,new_org:b03,b10 gave an alternative URL https://aiwi.org,agent-2026-09-21,,2026-09-21,false
ai21-labs-safety-research,AI21 Labs (Safety Research),https://docs.ai21.com/docs/safety-research-1,lab-safety-team,Israel,Tel Aviv,Middle East,2017,200+,commercial,Safety research and responsible-deployment commitments,red-teaming;evals,"Publishes a public Safety Research page describing its approach to malicious-use, misuse and societal-harm risks, with a dedicated safety@ai21.com contact for vulnerability and misuse reports.",Public Safety Research documentation,active,low,https://docs.ai21.com/docs/safety-research-1,commercial-product,contact-form,seed,,agent-2026-09-21,,2026-09-21,false
aiaaic,AIAAIC,https://www.aiaaic.org,nonprofit-research,unknown,unknown,unknown,unknown,unknown,unknown,,,"Independent, long-running public repository of AI, algorithmic and automation incidents and controversies.",,active,low,https://www.aiaaic.org/aiaaic-repository,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[38], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
aim-security,Aim Security,https://aim.security,for-profit-startup,Israel,Tel Aviv,Other,2023,6-20,commercial,GenAI security posture management,model-security,Helps enterprises discover and secure their generative AI usage against data leakage and prompt-based attacks.,GenAI security posture management platform,active,medium,https://aim.security; https://dev.to/luckypipewrench/the-ai-agent-security-acquisition-wave-what-it-means-for-buyers-1e73,commercial-product,unknown,seed,Acquired by Cato Networks in 2025-26; the product continues inside Cato Networks (review-model). Status left active because the enum has no 'acquired' value and the product and team continue.,agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
aisafety-com,AISafety.com,https://www.aisafety.com,field-building,unknown,unknown,unknown,unknown,unknown,unknown,,,"Aggregated AI safety jobs board, alongside its field map and events listings.",,active,low,https://www.aisafety.com/jobs; https://forum.effectivealtruism.org/posts/Bjr6FXvnKqb37uMPP/shutting-down-ai-safety-support,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[34], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
aisafety-info,AISafety.info,https://aisafety.info,field-building,Other,Global (remote),Other,2022,1-5,philanthropic,Explains AI safety concepts to newcomers,field-building;comms-advocacy,Volunteer-run project answering common questions about AI safety in accessible language to lower the barrier to entry.,Public FAQ and explainer database,active,medium,https://aisafety.info,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
algorithmic-justice-league,Algorithmic Justice League,https://ajl.org,advocacy,US,Cambridge,North America,2016,6-20,philanthropic,Advocacy against algorithmic bias and broader AI harms,comms-advocacy;lab-accountability,Advocacy organisation raising awareness of bias and harm from AI systems and pushing for accountability from developers.,Research and campaigns on facial recognition bias,active,high,https://ajl.org,nonprofit,publishes-open-problems;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
algorithmwatch,AlgorithmWatch,https://algorithmwatch.org,nonprofit-research,Germany,unknown,Europe,unknown,unknown,unknown,,,"Maintains a dedicated predictive-policing research and campaign stream, including country case studies (Netherlands, Germany) and an explainer.",,active,medium,https://algorithmwatch.org/en/algorithmic-policing-explained/,nonprofit,open-to-collaborators,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
alibaba-qwen-safety-guardrails,Alibaba Qwen (Safety/Guardrails),https://github.com/QwenLM/Qwen3Guard,lab-safety-team,China,Hangzhou,Asia,2023,200+,commercial,Guardrail and safety-classifier models for the Qwen family,red-teaming;evals,"Qwen team at Alibaba Cloud develops and open-sources ""Qwen3Guard"", a multilingual guardrail/classifier model series for moderating Qwen model outputs.",Qwen3Guard multilingual guardrail models,active,medium,https://github.com/QwenLM/Qwen3Guard; https://www.aisafetyfacts.org/company/alibaba-qwen,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
alice-formerly-activefence,Alice (formerly ActiveFence),https://alice.io,for-profit-startup,US,New York,North America,2018,200+,commercial,"Trust, safety and AI red-teaming platform, publishing research on abliteration and uncensored-model proliferation",model-security;open-weights-risk;red-teaming,AI safety and trust-and-safety vendor (rebranded from ActiveFence) that publishes dedicated measurement research on abliteration effectiveness and on the scale of uncensored open-weight model distribution.,Abliteration report (March 2026); 'millions download dangerous LLMs' research,active,medium,https://go.alice.io/hubfs/alice-abliteration-report-april2026.pdf; https://alice.io/blog/okay-here-is-how-to-build-a-bomb-millions-download-dangerous-llms,commercial-services,contact-form,new_org:b04,,agent-2026-09-21,,2026-09-21,false
aligned-ai,Aligned AI,https://buildaligned.ai,for-profit-startup,UK,Oxford,UK,2021,1-5,commercial,Concept extrapolation to reduce specification gaming,alignment,"Develops concept-extrapolation techniques intended to help AI systems generalise human values correctly outside their training distribution; original aligned-ai.com domain appears to have moved/lapsed, current status unclear.",Concept extrapolation research and tools,active,low,https://forum.effectivealtruism.org/posts/emKDqNjyE2h22MJ2T/we-re-aligned-ai-we-re-aiming-to-align-ai; https://buildaligned.ai/blog/concept-extrapolation-teaching-ai-systems-to-think-in-human-like-concepts,commercial-product,unknown,seed,"Site is live in 2026 but now centred on a consumer product ('Canvas'); no current evidence of the concept-extrapolation alignment research described in the prior problem_description was found, so left untagged on any node pending a fuller check (b12).",agent-2026-09-21,,2026-09-21,false
alignment-of-complex-systems-research-group-acs,Alignment of Complex Systems Research Group (ACS),https://acsresearch.org,academic,Czech Republic,Prague,Europe,2021,6-20,mixed,Studies alignment through a complex-systems lens,alignment;multi-agent-cooperation,Academic research group studying AI alignment using tools and concepts from complex systems science.,Complex systems approaches to alignment publications,active,medium,https://acsresearch.org,academic,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
alignment-research-center-arc,Alignment Research Center (ARC),https://alignment.org,nonprofit-research,US,Berkeley,North America,2021,6-20,philanthropic,Theoretical alignment research,alignment;evals,"Conducts theoretical research on aligning future machine learning systems, including formal approaches to eliciting latent knowledge.",Eliciting Latent Knowledge report,active,high,https://alignment.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
amazon-agi-responsible-ai,Amazon AGI / Responsible AI,https://amazon.science,lab-safety-team,US,Seattle,North America,2023,200+,commercial,Responsible AI research function within a shrinking AGI group,model-security;standards,"Amazon has cut jobs within its AGI group in 2026 to refocus on customer-facing AI, but continues to publish Responsible AI research via Amazon Science.",Responsible AI review processes for Bedrock,active,low,https://amazon.science,commercial-product,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
americans-for-responsible-innovation-ari,Americans for Responsible Innovation (ARI),https://ari.us,advocacy,US,Washington DC,North America,2021,6-20,philanthropic,US advocacy for AI safety legislation,comms-advocacy;policy-domestic,Advocacy organisation lobbying for US legislation to manage risks from advanced AI and other emerging technologies.,Legislative advocacy campaigns,active,medium,https://responsibleinnovation.org,nonprofit,publishes-open-problems;contact-form,seed,URL corrected to ari.us; responsibleinnovation.org redirects there (b08).,agent-2026-09-21,,2026-09-21,false
amnesty-international-uk,Amnesty International UK,https://www.amnesty.org.uk,advocacy,UK,unknown,UK,unknown,unknown,unknown,,,"""Automated Racism"" report (February 2025) on UK police predictive policing and a campaign to ban it.",,active,low,https://www.amnesty.org.uk/predictive-policing,nonprofit,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[153], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
andon-labs,Andon Labs,https://andonlabs.com,nonprofit-research,US,San Francisco,North America,2024,1-5,philanthropic,Real-world agentic AI safety evaluations,agent-security;evals,Runs unusual real-world tests of agentic AI systems (e.g. running a vending machine business) to surface failure modes before deployment.,Vending-Bench and related agent evaluation benchmarks,active,medium,https://andonlabs.com,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
anthropic,Anthropic,https://anthropic.com,lab-safety-team,US,San Francisco,North America,2021,200+,commercial,"Alignment Science, Interpretability and Safeguards teams",alignment;interpretability;evals;frontier-safety-frameworks;red-teaming,"Runs three named internal safety functions: Alignment Science (studies scheming, scalable oversight, RSP evaluations), Interpretability (mechanistic interpretability, sparse autoencoders) and Safeguards (misuse and safety-policy enforcement for deployed models), alongside frontier model development.","Responsible Scaling Policy, Constitutional AI, sparse autoencoder interpretability work",active,high,https://anthropic.com; https://aisafety.com/map,commercial-product,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
anthropic-fellows-program,Anthropic Fellows Program,https://anthropic.com/fellows,field-building,US,San Francisco,North America,2024,6-20,commercial,Fellowship placing external researchers into safety research,field-building;alignment,"Places external researchers inside Anthropic for a funded fellowship to work on interpretability, alignment and safety evaluation projects.",Fellowship cohorts producing safety research papers,active,high,https://aisafety.com/map,commercial-product,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
apart-research,Apart Research,https://apartresearch.com,field-building,UK,London,UK,2022,6-20,philanthropic,AI safety hackathons and research sprints,field-building;evals,"Runs global hackathons, fellowships and research sprints to bring new researchers into technical AI safety work.",Apart Sprints; AI safety hackathon series,active,high,https://apartresearch.com; https://aisafety.com/map,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
apollo-research,Apollo Research,https://apolloresearch.ai,nonprofit-research,UK,London,UK,2023,6-20,philanthropic,Evaluations for deceptive alignment and scheming in models,evals;alignment;control,Researches and builds evaluations to detect deceptive or scheming behaviour in advanced AI models before deployment.,Scheming evaluations of frontier models,active,high,https://apolloresearch.ai,mixed-nonprofit-with-product,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
arb-research,Arb Research,https://shallowreview.ai,nonprofit-research,unknown,unknown,unknown,unknown,unknown,unknown,,,"Leads the recurring Shallow Review of Technical AI Safety (2023, 2024, 2025), a field-level map of agendas, organisations and funding.",,active,low,https://shallowreview.ai/about; https://shallowreview.ai/,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[102], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking. URL is the Shallow Review site that Arb leads; Arb's own homepage was not recorded.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
arcadia-impact,Arcadia Impact,https://arcadiaimpact.org,field-building,UK,London,UK,2023,1-5,philanthropic,Supports AI safety career transitions and research incubation,field-building,Supports researchers transitioning into AI safety and incubates new applied AI safety research projects.,Research incubation and career support programmes,active,medium,https://arcadiaimpact.org,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
arena-alignment-research-engineer-accelerator,ARENA (Alignment Research Engineer Accelerator),https://arena.education,field-building,UK,London,UK,2022,1-5,philanthropic,Technical bootcamp training alignment research engineers,field-building,Intensive in-person bootcamp teaching the technical engineering skills needed for empirical alignment research.,Multiple bootcamp cohorts,active,high,https://aisafety.com/map,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
article-36,Article 36,https://article36.org,nonprofit,UK,London,Europe,2011,unknown,unknown,"Legal and policy work on weapons harm, including autonomous weapons and AI targeting",lethal-autonomy;arms-control;military-decision-support,"Specialist nonprofit developing legal standards and policy on weapons that cause harm to civilians, with a dedicated autonomous-weapons and AI-targeting stream feeding into the UN CCW process; a Stop Killer Robots steering committee member.",AI-based targeting in armed conflict commentary (2026); explosive weapons and autonomous weapons policy papers,active,high,['https://article36.org/'],nonprofit,publishes-open-problems,new_org:b05,,agent-2026-09-21,,2026-09-21,false
ashgro,Ashgro,https://ashgro.org,field-building,US,unknown,North America,2022,1-5,philanthropic,Fiscal sponsorship and operations support for AI safety projects,field-building;funding,"Provides fiscal sponsorship and back-office operations support to new AI safety nonprofits and projects, lowering the barrier to founding one.",Fiscal sponsorship of multiple AI safety projects,active,medium,https://aisafety.com/map,nonprofit,open-to-collaborators;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
astera-institute,Astera Institute,https://astera.org,funder,US,Berkeley,North America,2020,21-50,philanthropic,Funds and conducts research on safe routes to transformative AI,alignment;funding,"Operating foundation that funds and conducts research into alternative, potentially safer routes to advanced AI capabilities.",Grants and in-house research programmes,active,medium,https://astera.org; https://www.simplexaisafety.com/,nonprofit,contact-form,seed,"Hosts and funds Simplex, which carries the interpretability research tags; Astera itself is tagged only as a funder, to avoid counting the programme twice (review-model).",agent-2026-09-21,opus-review-2026-09-23,2026-09-23,false
athena-mentorship-program,Athena Mentorship Program,https://researchathena.org,field-building,Other,Global (remote),Other,2022,1-5,philanthropic,Mentorship programme for women in AI alignment research,field-building,Mentorship programme supporting women entering technical AI alignment and safety research.,Mentorship cohorts,active,medium,https://aisafety.com/map,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
atlas-ignota,Atlas Ignota,https://atlascomputing.org,nonprofit-research,US,unknown,North America,2023,1-5,philanthropic,"Research on guaranteed-safe, safe-by-design AI architectures",safety-cases;alignment,Researches 'guaranteed safe AI' architectures that use formal verification and world models to provide safety assurances by construction.,Guaranteed safe AI research agenda,active,medium,https://atlascomputing.org,nonprofit,publishes-open-problems,seed,"Formerly Atlas Computing. Renamed from Atlas Computing to Atlas Ignota; continuing, not dormant (b02). b03 had described it as dormant; b02's rename finding supersedes that.",agent-2026-09-21,,2026-09-21,false
